DATE;BALANCE;EQUITY;DEPOSIT_LOAD;
2010.12.13 00:00;10000.00;10000.00;0.0000;
2019.03.25 01:00:00;10040.00;9980.00;0.0000;
2019.03.25 01:00:01;10040.00;9980.00;0.0000;
2023.10.27 22:40:00;8796.50;20392.70;0.6201;
2023.12.29 10:29:00;8796.50;26672.90;0.4741;
2024.01.05 08:55:00;8796.50;25662.20;0.4928;
2024.01.05 15:31:00;8796.50;25464.20;0.4966;
2024.04.01 02:43:00;8796.50;31043.30;0.4074;
2024.04.03 15:12:00;8796.50;30386.30;0.4162;
2024.04.19 05:18:00;8796.50;27824.00;0.4545;
2024.06.28 17:12:00;8796.50;33213.20;0.3808;
2024.06.28 17:47:00;8796.50;33150.20;0.3815;
2024.08.05 15:32:00;8796.50;29304.50;0.4315;
2024.09.19 20:54:00;8796.50;35120.30;0.3601;
2024.09.23 08:13:00;8796.50;34968.20;0.3616;
2024.10.02 16:45:00;8796.50;34556.00;0.3660;
2024.12.06 16:59:00;8796.50;38416.10;0.3292;
2024.12.16 20:53:00;8796.50;38278.40;0.3304;
2025.02.19 21:51:00;8796.50;38798.60;0.3259;
2025.03.11 20:30:00;8796.50;33257.30;0.3802;
2025.03.12 19:34:00;8796.50;34056.50;0.3713;
2025.04.07 01:05:00;8796.50;26695.40;0.4737;
2025.05.29 11:01:00;8796.50;37474.70;0.3375;
2025.05.30 23:54:00;36612.50;36612.50;0.0000;
